platform,brand_variation,search_url,found_at,canonical_name
linkedin,Emery Industries,https://www.linkedin.com/search/results/companies/?keywords=Emery%20Industries,2025-10-31T10:22:42.621198,Emery Industries
facebook,Emery Industries,https://www.facebook.com/search/pages/?q=Emery%20Industries,2025-10-31T10:22:42.621208,Emery Industries
twitter,Emery Industries,https://twitter.com/search?q=Emery%20Industries,2025-10-31T10:22:42.621209,Emery Industries
linkedin,Emery Ind,https://www.linkedin.com/search/results/companies/?keywords=Emery%20Ind,2025-10-31T10:22:42.621214,Emery Industries
facebook,Emery Ind,https://www.facebook.com/search/pages/?q=Emery%20Ind,2025-10-31T10:22:42.621215,Emery Industries
twitter,Emery Ind,https://twitter.com/search?q=Emery%20Ind,2025-10-31T10:22:42.621216,Emery Industries
linkedin,EMI,https://www.linkedin.com/search/results/companies/?keywords=EMI,2025-10-31T10:22:42.621219,Emery Industries
facebook,EMI,https://www.facebook.com/search/pages/?q=EMI,2025-10-31T10:22:42.621220,Emery Industries
twitter,EMI,https://twitter.com/search?q=EMI,2025-10-31T10:22:42.621221,Emery Industries
linkedin,Emery Industries Australia,https://www.linkedin.com/search/results/companies/?keywords=Emery%20Industries%20Australia,2025-10-31T10:22:42.621274,Emery Industries
facebook,Emery Industries Australia,https://www.facebook.com/search/pages/?q=Emery%20Industries%20Australia,2025-10-31T10:22:42.621276,Emery Industries
twitter,Emery Industries Australia,https://twitter.com/search?q=Emery%20Industries%20Australia,2025-10-31T10:22:42.621276,Emery Industries
linkedin,Emery Stainless Steel,https://www.linkedin.com/search/results/companies/?keywords=Emery%20Stainless%20Steel,2025-10-31T10:22:42.621281,Emery Industries
facebook,Emery Stainless Steel,https://www.facebook.com/search/pages/?q=Emery%20Stainless%20Steel,2025-10-31T10:22:42.621281,Emery Industries
twitter,Emery Stainless Steel,https://twitter.com/search?q=Emery%20Stainless%20Steel,2025-10-31T10:22:42.621282,Emery Industries
linkedin,emeryindustries.com,https://www.linkedin.com/search/results/companies/?keywords=emeryindustries.com,2025-10-31T10:22:42.621284,Emery Industries
facebook,emeryindustries.com,https://www.facebook.com/search/pages/?q=emeryindustries.com,2025-10-31T10:22:42.621285,Emery Industries
twitter,emeryindustries.com,https://twitter.com/search?q=emeryindustries.com,2025-10-31T10:22:42.621286,Emery Industries
linkedin,emeryindustries.com.au,https://www.linkedin.com/search/results/companies/?keywords=emeryindustries.com.au,2025-10-31T10:22:42.621288,Emery Industries
facebook,emeryindustries.com.au,https://www.facebook.com/search/pages/?q=emeryindustries.com.au,2025-10-31T10:22:42.621288,Emery Industries
twitter,emeryindustries.com.au,https://twitter.com/search?q=emeryindustries.com.au,2025-10-31T10:22:42.621289,Emery Industries
