Task Name,Category,Requested By,Deadline,Status,Quote Impact,Priority,Description/Notes
"EDM/Email Campaign Templates","URGENT TASKS","Helena (16/02/26)","21/02/26","NEW","$2-3k","P1 - CRITICAL","5 campaigns: SOAs, MediMesh stock clearance, builder direct, NSW/ACT education"
"Branded Odoo template creation","URGENT TASKS","Helena","21/02/26","NEW","-","P1 - CRITICAL","Email campaign template for Odoo system"
"SOAs campaign copy (QLD & NSW)","URGENT TASKS","Helena","21/02/26","NEW","-","P1 - CRITICAL","State of Agreement campaigns for Queensland and NSW"
"MediMesh stock clearance campaign ($150k+ stock)","URGENT TASKS","Helena","21/02/26","NEW","-","P1 - CRITICAL","Campaign to move $150k+ worth of MediMesh stock"
"Builder direct engagement campaign","URGENT TASKS","Helena","21/02/26","NEW","-","P1 - CRITICAL","Campaign to get builders to come direct vs through distributors"
"NSW/ACT education campaign (brand awareness)","URGENT TASKS","Helena","21/02/26","NEW","-","P1 - CRITICAL","Education campaign as some end users have never heard of Emery"
"HTML Email Banner Update","URGENT TASKS","Lisa committed (11/02/26)","19/02/26","IN PROGRESS","Included","P1 - CRITICAL","Update from image to HTML format"
"Thailand Distributor Follow-up Materials","URGENT TASKS","James/Helena (03/02/26)","24/02/26","NEW","$1-2k","P1 - CRITICAL","Follow-up materials from Thailand training session"
"HS codes for export products","URGENT TASKS","James","24/02/26","NEW","-","P1 - CRITICAL","Required for customs and shipping labels"
"Accessory examples and pricing","URGENT TASKS","Helena","24/02/26","NEW","-","P1 - CRITICAL","Images and examples of sinks with different accessories"
"Installation/plumbing documentation","URGENT TASKS","Helena","24/02/26","NEW","-","P1 - CRITICAL","Installation suggestions and plumbing examples"
"Website Front-End Cleanup","URGENT TASKS","Team consensus (13/02/26)","28/02/26","IN PROGRESS","$5-8k","P2 - HIGH PRIORITY","Visual and messaging cleanup of existing website"
"Messaging alignment (premium not luxury)","URGENT TASKS","Team","28/02/26","RESEARCH","-","P2 - HIGH PRIORITY","Position as premium quality, not luxury pricing"
"FAQ integration for AI optimization","URGENT TASKS","Lisa recommendation","07/03/26","PLANNED","-","P2 - HIGH PRIORITY","FAQ sections on pages for AI bot optimization"
"Visual cleanup (grids, organized layout)","URGENT TASKS","Team","28/02/26","IN PROGRESS","-","P2 - HIGH PRIORITY","Organized, grid-based layout for engineer-minded audience"
"Social Media Content Pipeline","URGENT TASKS","Lisa committed (11/02/26)","25/02/26","PLANNED","$2-3k","P2 - HIGH PRIORITY","Content creation and scheduling pipeline"
"Competitive response to Pure Processing","URGENT TASKS","Team concern","28/02/26","RESEARCH","-","P2 - HIGH PRIORITY","Response to competitor's 2-3 daily posts and demo content"
"Google juice/SEO content strategy","URGENT TASKS","Lisa recommendation","07/03/26","PLANNED","-","P2 - HIGH PRIORITY","SEO optimization and Google algorithm compliance"
"Distributor Kit - Basic Version","PROJECT 1 DELIVERABLES","Phase 1 requirement","07/03/26","SCOPED","$8-12k","Core Priority","Initial distributor enablement materials"
"Distributor Kit - Complete Version","PROJECT 1 DELIVERABLES","Phase 1 requirement","28/03/26","SCOPED","$15-20k","Core Priority","Full distributor enablement with customization"
"Product Catalog System","PROJECT 1 DELIVERABLES","Team requirement","14/03/26","SCOPED","$5-8k","Core Priority","Catalog system for different product lines"
"Mini catalogs per product line","PROJECT 1 DELIVERABLES","Team requirement","14/03/26","PLANNED","-","Core Priority","Individual catalogs for different product categories"
"Configuration forms update","PROJECT 1 DELIVERABLES","Team requirement","21/03/26","PLANNED","-","Core Priority","Update existing configuration forms"
"Training Materials","PROJECT 1 DELIVERABLES","Thailand example shows need","21/03/26","SCOPED","$3-5k","Core Priority","Distributor training materials and templates"
"PowerPoint decks (template system)","PROJECT 1 DELIVERABLES","Helena created Thailand deck","21/03/26","IN PROGRESS","-","Core Priority","Template system based on Thailand distributor deck"
"Knowledge base bot for distributors","PROJECT 1 DELIVERABLES","Lisa recommendation","04/04/26","PLANNED","-","Core Priority","AI bot for distributor self-service questions"
"Regional Customization Framework","PROJECT 1 DELIVERABLES","Team requirement","28/03/26","SCOPED","$5-8k","Core Priority","Framework for different market customization"
