Outline Level,ID,Name,Start,Finish,Duration,% Complete,Predecessors,Resource Names,Color,Notes
1,1,"6-Week Branding and Marketing Sprint",2025-10-03,2025-11-13,30 day,0,"","","",
2,10,"Project Management",2025-10-03,2025-11-13,30 day,0,"","James","",
3,11,"Project Planning",2025-10-03,2025-10-08,4 day,0,"","James","",
4,111,"Conduct stakeholder kick-off meeting",2025-10-03,2025-10-03,0.25 day,0,"","James","",
4,112,"Define and document final project scope",2025-10-06,2025-10-06,1 day,0,"111FS","James","",
4,113,"Create detailed project schedule",2025-10-07,2025-10-07,1 day,0,"112FS","James","",
4,114,"Finalize and approve ""Sprint Plan"" document",2025-10-08,2025-10-08,0.5 day,0,"113FS","James","",
3,12,"Project Tracking & Communication",2025-10-09,2025-11-13,26 day,0,"114FS","James","",
4,121,"Hold weekly stakeholder status meetings",2025-10-09,2025-11-13,0.125 day,0,"","James","",
4,122,"Track progress against KPIs",2025-10-09,2025-11-13,0.25 day,0,"","James","",
3,13,"Project Handoff",2025-11-12,2025-11-13,2 day,0,"324FS,432FS","James","",
4,131,"Archive all project documentation",2025-11-12,2025-11-12,1 day,0,"","James","",
4,132,"Conduct project wrap-up and ""lessons learned"" session",2025-11-13,2025-11-13,0.5 day,0,"131FS","James","",
2,20,"Brand Refinement",2025-10-09,2025-10-21,9 day,0,"114FS","Helena","",
3,21,"Brand Discovery",2025-10-09,2025-10-10,2 day,0,"","Helena","",
4,211,"Audit existing brand identity and assets",2025-10-09,2025-10-09,1 day,0,"","Helena","",
4,212,"Document required brand refinements and get approval",2025-10-10,2025-10-10,1 day,0,"211FS","Helena","",
3,22,"Style Guide & Template Creation",2025-10-13,2025-10-21,7 day,0,"212FS","Helena","",
4,221,"Update logo, color palette, and typography",2025-10-13,2025-10-15,3 day,0,"","Helena","",
4,222,"Write new voice and tone guidelines",2025-10-13,2025-10-14,2 day,0,"","Helena","",
4,223,"Create master templates (presentations, docs, social)",2025-10-16,2025-10-20,3 day,0,"221FS","Helena","",
4,224,"Finalize and get approval for style guide and templates",2025-10-21,2025-10-21,1 day,0,"222FS,223FS","Helena","",
2,30,"Marketing Asset Production",2025-10-22,2025-11-11,15 day,0,"224FS","Helena","",
3,31,"Content & Design",2025-10-22,2025-11-04,10 day,0,"","Helena","",
4,311,"Define key messages and write copy for all assets",2025-10-22,2025-10-28,5 day,0,"","Helena","",
4,312,"Design all assets using the new templates",2025-10-29,2025-11-04,5 day,0,"311FS","Helena","",
3,32,"Review and Finalization",2025-11-05,2025-11-11,5 day,0,"312FS","Helena","",
4,321,"Conduct internal review of all draft assets",2025-11-05,2025-11-05,1 day,0,"","Helena","",
4,322,"Conduct stakeholder review and gather feedback",2025-11-06,2025-11-07,2 day,0,"321FS","Helena","",
4,323,"Complete all revisions",2025-11-10,2025-11-10,1 day,0,"322FS","Helena","",
4,324,"Prepare final files for printing and digital use",2025-11-11,2025-11-11,1 day,0,"323FS","Helena","",
2,40,"AI Content Distribution Tool",2025-10-09,2025-11-12,25 day,0,"114FS","Isabelle","",
3,41,"Scoping and Prototyping",2025-10-09,2025-10-17,7 day,0,"","Isabelle","",
4,411,"Define and document detailed requirements for the AI tool",2025-10-09,2025-10-10,2 day,0,"","Isabelle","",
4,412,"Select AI platform and design technical approach",2025-10-13,2025-10-13,1 day,0,"411FS","Isabelle","",
4,413,"Develop a Proof of Concept (PoC)",2025-10-14,2025-10-17,4 day,0,"412FS","Isabelle","",
3,42,"Development & Testing",2025-10-20,2025-11-05,13 day,0,"413FS","Isabelle","",
4,421,"Build the beta version of the AI tool",2025-10-20,2025-10-29,8 day,0,"","Isabelle","",
4,422,"Conduct internal testing and debugging",2025-10-30,2025-10-31,2 day,0,"421FS","Isabelle","",
4,423,"Conduct User Acceptance Testing (UAT) with the team",2025-11-03,2025-11-05,3 day,0,"422FS","Isabelle","",
3,43,"Deployment & Handoff",2025-11-06,2025-11-12,5 day,0,"423FS","Isabelle","",
4,431,"Prioritize and fix critical bugs from UAT",2025-11-06,2025-11-10,3 day,0,"","Isabelle","",
4,432,"Deploy the final version of the tool",2025-11-11,2025-11-11,1 day,0,"431FS","Isabelle","",
4,433,"Create user guide and conduct training session",2025-11-12,2025-11-12,1 day,0,"432FS","Isabelle","" 
