Outline Level,ID,Name,Start,Finish,Duration,% Complete,Predecessors,Resource Names,Color,Notes
1,1,"EMI-Emery Phase 2 Strategic Growth Project",2026-01-12,2026-05-02,18 weeks,0,"","Success Sherpa Team",100,"18-week strategic growth project with dual concurrent tracks"
2,10,"PROJECT 1: FOUNDATIONAL ENABLEMENT",2026-01-12,2026-02-23,6 weeks,0,"","EMI Team + External",120,"Critical path foundation building - must complete before P2 advanced work"
3,11,"1.1 Project Initiation & Planning",2026-01-12,2026-01-14,3 days,0,"","Success Sherpa, Lisa, EMI Leadership",121,"Project kickoff and stakeholder alignment"
4,111,"Project Kickoff & Stakeholder Alignment",2026-01-12,2026-01-12,1 day,0,"","Success Sherpa, EMI Team",121,"Conduct stakeholder alignment meeting and define success criteria"
4,112,"Resource Planning & Team Configuration",2026-01-13,2026-01-14,2 days,0,"111FS","Success Sherpa",121,"Finalize team assignments and resource allocation"
3,12,"1.2 AI-Powered Web & Communications Audit",2026-01-12,2026-01-18,5 days,0,"","Technical Analyst, Marketing Strategist",131,"Comprehensive website and brand consistency analysis"
4,121,"Website Technical Analysis",2026-01-12,2026-01-14,3 days,0,"","Technical Analyst",131,"Performance audit, SEO analysis, competitive benchmark"
4,122,"Brand Consistency & Messaging Evaluation",2026-01-15,2026-01-17,3 days,0,"121FS","Marketing Strategist",131,"Visual identity audit and messaging alignment analysis"
4,123,"Digital Asset Management Assessment",2026-01-16,2026-01-18,3 days,0,"121FS","Technical Analyst",131,"Asset inventory and organization recommendations"
3,13,"1.3 Brand Strategy Development",2026-01-19,2026-01-30,8 days,0,"12FS","Brand Strategist, EMI Team",141,"CRITICAL PATH - Brand foundation for all subsequent work"
4,131,"Internal Discovery & Brand Foundation",2026-01-19,2026-01-22,4 days,0,"12FS","Brand Strategist, EMI Team",141,"Stakeholder interviews and brand foundation workshop"
4,132,"Brand Architecture & Framework Development",2026-01-23,2026-01-26,4 days,0,"131FS","Brand Strategist",141,"Brand promise, voice, tone, and personality definition"
4,133,"Comprehensive Brand Guidelines Creation",2026-01-27,2026-01-30,4 days,0,"132FS","Brand Designer, Helena",141,"Master brand guidelines and visual identity standards"
3,14,"1.4 Distributor Documentation System",2026-01-31,2026-02-14,15 days,0,"133FS","Technical Writer, Designer, Content Strategist",151,"Complete documentation rebranding system"
4,141,"Company & Brand Information Package",2026-01-31,2026-02-03,4 days,0,"133FS","Technical Writer, Helena",151,"Corporate profile, awards, certifications, brand guidelines"
4,142,"Product Documentation Comprehensive Rebranding",2026-02-04,2026-02-10,7 days,0,"141FS","Technical Writer, Designer",151,"Master catalog, data sheets, operations manuals"
4,143,"Sales & Marketing Resource Library",2026-02-11,2026-02-14,4 days,0,"142FS","Content Strategist, Designer",151,"Marketing collateral, case studies, sales tools"
3,15,"1.5 'One Shop' PowerPoint Integration System",2026-02-15,2026-02-20,6 days,0,"143FS","Presentation Designer, Technical Integrator",161,"Master presentation platform with document integration"
4,151,"Master Presentation Platform Development",2026-02-15,2026-02-17,3 days,0,"143FS","Presentation Designer",161,"Enhanced presentation with live document links"
4,152,"Territory Customization & Localization Framework",2026-02-18,2026-02-19,2 days,0,"151FS","Technical Integrator",161,"Territory-specific modules and customization system"
4,153,"Training Materials & Usage Documentation",2026-02-20,2026-02-20,1 day,0,"152FS","Technical Writer",161,"Distributor training and best practices guides"
3,16,"1.6 Internal Training & System Handover",2026-02-21,2026-02-23,3 days,0,"153FS","Success Sherpa, All Teams",171,"GATE 2 - Complete EMI team training and certification"
4,161,"Comprehensive System Training",2026-02-21,2026-02-22,2 days,0,"153FS","Success Sherpa, EMI Team",171,"Complete training on all new systems and processes"
4,162,"Final Quality Review & Project 1 Handover",2026-02-23,2026-02-23,1 day,0,"161FS","Success Sherpa, EMI Team",171,"Gate 2 approval and Project 2 initiation authorization"
2,20,"PROJECT 2: STRATEGIC FOUNDATION BUILDING",2026-01-19,2026-05-02,12+ weeks,0,"","Strategic Team + Specialists",200,"Advanced systems building for long-term scalability"
3,21,"2.1 Customer Experience Optimization",2026-02-24,2026-03-07,10 days,0,"162FS","UX Designer, Customer Experience Analyst",201,"Journey mapping and touchpoint optimization"
4,211,"Current State Journey Mapping",2026-02-24,2026-02-26,3 days,0,"162FS","UX Designer, EMI Team",201,"Map existing customer journey and identify pain points"
4,212,"Distributor Experience Enhancement",2026-02-27,2026-03-01,3 days,0,"211FS","Customer Experience Analyst",201,"Optimize distributor onboarding and support processes"
